Qsort_Numb, Qsort_Time, Qsort_Iterations, Bubble_Numb, Bubble_Time, Bubble_Iterations, BinarySort_Time, BinarySort_Iterations, LinearSearch_Time, LinearSearch_Iterations
164000, 0.0591444s, 0, 164000, 313.104s, 0000000000000000, 1.9e-06s, 0000000000000000, 0.0001494s, 82000
165000, 0.0603902s, 0, 165000, 319.855s, 0000000000000000, 1.6e-06s, 0000000000000000, 0.0001404s, 82500
166000, 0.0598357s, 0, 166000, 324.537s, 0000000000000000, 1.9e-06s, 0000000000000000, 0.0001829s, 83000
167000, 0.061445s, 0, 167000, 326.294s, 0000000000000000, 1.9e-06s, 0000000000000000, 0.000145s, 83500
168000, 0.0655019s, 0, 168000, 327.726s, 0000000000000000, 1.8e-06s, 0000000000000000, 0.000142s, 84000
169000, 0.063045s, 0, 169000, 329.657s, 0000000000000000, 2.8e-06s, 0000000000000000, 0.0002047s, 84500
170000, 0.0647703s, 0, 170000, 336.604s, 0000000000000000, 2.3e-06s, 0000000000000000, 0.00013s, 85000
171000, 0.0643308s, 0, 171000, 324.744s, 0000000000000000, 1.5e-06s, 0000000000000000, 0.0001272s, 85500
172000, 0.0570272s, 0, 172000, 307.026s, 0000000000000000, 2.1e-06s, 0000000000000000, 0.0001297s, 86000
173000, 0.0561801s, 0, 173000, 320.402s, 0000000000000000, 3.4e-06s, 0000000000000000, 0.0001909s, 86500
174000, 0.063628s, 0, 174000, 322.716s, 0000000000000000, 2.8e-06s, 0000000000000000, 0.0001317s, 87000
175000, 0.0584777s, 0, 175000, 343.145s, 0000000000000000, 3.3e-06s, 0000000000000000, 0.0001449s, 87500
176000, 0.0638029s, 0, 176000, 347.41s, 0000000000000000, 2.9e-06s, 0000000000000000, 0.0002131s, 88000
177000, 0.0633353s, 0, 177000, 362.19s, 0000000000000000, 5.6e-06s, 0000000000000000, 0.0002194s, 88500
178000, 0.0639311s, 0, 178000, 366.47s, 0000000000000000, 2.8e-06s, 0000000000000000, 0.0001685s, 89000
179000, 0.0618753s, 0, 179000, 385.639s, 0000000000000000, 1.5e-06s, 0000000000000000, 0.0001376s, 89500
180000, 0.0561057s, 0, 180000, 329.968s, 0000000000000000, 1.6e-06s, 0000000000000000, 0.0001352s, 90000
181000, 0.0613116s, 0, 181000, 339.634s, 0000000000000000, 1.5e-06s, 0000000000000000, 0.0001326s, 90500
182000, 0.0572776s, 0, 182000, 330.344s, 0000000000000000, 1.5e-06s, 0000000000000000, 0.0001372s, 91000
183000, 0.0571542s, 0, 183000, 339.547s, 0000000000000000, 1.5e-06s, 0000000000000000, 0.0001387s, 91500
184000, 0.0591731s, 0, 184000, 432.377s, 0000000000000000, 1.6e-06s, 0000000000000000, 0.0001386s, 92000
185000, 0.0627734s, 0, 185000, 371.562s, 0000000000000000, 2.3e-06s, 0000000000000000, 0.0001446s, 92500
186000, 0.0627397s, 0, 186000, 352.548s, 0000000000000000, 3.1e-06s, 0000000000000000, 0.0001416s, 93000
187000, 0.0589639s, 0, 187000, 349.583s, 0000000000000000, 2.5e-06s, 0000000000000000, 0.0001421s, 93500
188000, 0.0626211s, 0, 188000, 352.598s, 0000000000000000, 2.2e-06s, 0000000000000000, 0.0001421s, 94000
189000, 0.0617352s, 0, 189000, 356.324s, 0000000000000000, 1.1e-06s, 0000000000000000, 0.0001441s, 94500
190000, 0.0617813s, 0, 190000, 359.859s, 0000000000000000, 1.3e-06s, 0000000000000000, 0.0001419s, 95000
191000, 0.0591768s, 0, 191000, 363.362s, 0000000000000000, 1e-06s, 0000000000000000, 0.0001396s, 95500
192000, 0.0610244s, 0, 192000, 367.255s, 0000000000000000, 1.2e-06s, 0000000000000000, 0.0001457s, 96000
193000, 0.0621367s, 0, 193000, 371.353s, 0000000000000000, 1.6e-06s, 0000000000000000, 0.0001461s, 96500
194000, 0.0590476s, 0, 194000, 375.717s, 0000000000000000, 1.2e-06s, 0000000000000000, 0.000146s, 97000
195000, 0.0628995s, 0, 195000, 378.571s, 0000000000000000, 1.2e-06s, 0000000000000000, 0.0001483s, 97500
196000, 0.0619018s, 0, 196000, 382.458s, 0000000000000000, 1.2e-06s, 0000000000000000, 0.0001463s, 98000
197000, 0.0616432s, 0, 197000, 1741.11s, 0000000000000000, 2e-06s, 0000000000000000, 0.0001476s, 98500
198000, 0.0649473s, 0, 198000, 391.717s, 0000000000000000, 1.3e-06s, 0000000000000000, 0.0001491s, 99000
199000, 0.0643364s, 0, 199000, 396.251s, 0000000000000000, 1.2e-06s, 0000000000000000, 0.0001528s, 99500
200000, 0.0632359s, 0, 200000, 405.163s, 0000000000000000, 1.6e-06s, 0000000000000000, 0.0001518s, 100000
